# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
10.3693 16.254 0     2.89468 -2.54531 0     1     0     -210.542 -261.35 0     
6.06666 20.9189 0     2.81181 2.91639 0     1     0     -302.504 193.735 0     
1.0449 26.3894 0     5.52376 -3.68863 0     1     0     -550.704 309.38 0     
5.0908 29.1871 0     -5.36531 3.80285 0     1     0     58.9423 -273.248 0     
9.51931 29.1207 0     -4.60164 2.68119 0     1     0     -39.513 -104.168 0     
10.0174 33.0923 0     -1.35835 12.2346 0     1     0     -411.65 322.046 0     
11.4551 29.4328 0     12.241 -0.0761154 0     1     0     14.2901 343.229 0     
1.13529 43.3539 0     -5.63272 -3.94354 0     1     0     7.91936 -6.90376 0     
7.86115 36.916 0     2.21568 2.51199 0     1     0     -3.26728 7.28965 0     
10.9802 39.1599 0     -4.78019 9.36873 0     1     0     -333.341 -430.66 0     
5.26499 36.2712 0     -8.15961 0.94121 0     1     0     873.842 -1118.54 0     
12.7811 28.968 0     -5.99323 -7.90959 0     1     0     -1102.19 -220.57 0     
15.1756 29.7868 0     1.85581 4.50811 0     1     0     -824.691 1033.96 0     
8.96796 56.5964 0     -0.616374 1.20319 0     1     0     49.5823 1026.63 0     
0.0109179 44.5863 0     0.271889 13.8427 0     1     0     3.62159 -12.711 0     
14.5627 38.1454 0     -4.25494 4.50094 0     1     0     -45.5605 10.5385 0     
9.96589 39.9117 0     4.96421 6.83469 0     1     0     -228.35 -77.8396 0     
6.55264 42.2138 0     -10.7799 8.84277 0     1     0     50.9038 -41.9013 0     
16.4667 52.1005 0     -6.22671 -2.2471 0     1     0     -12.9115 11.1967 0     
5.34136 41.6234 0     -5.84949 -1.97193 0     1     0     39.7816 275.121 0     
4.24181 54.3787 0     7.66158 5.99534 0     1     0     -0.516788 -10.9076 0     
8.08982 40.0258 0     1.5504 8.72872 0     1     0     11.067 6.54478 0     
9.2182 42.8258 0     -8.54227 -0.451756 0     1     0     -253.775 160.866 0     
32.4028 46.8777 0     -5.65619 5.91139 0     1     0     0.155789 -2.89956 0     
33.5042 42.7598 0     -0.862683 1.70936 0     1     0     31.9582 19.9086 0     
19.6308 45.2215 0     0.626283 4.8268 0     1     0     -53.5669 -51.2306 0     
8.27218 45.2348 0     2.51175 3.15786 0     1     0     694.4 240.618 0     
28.078 47.2379 0     1.31019 -14.5307 0     1     0     -33.9218 -71.502 0     
7.74233 6.16927e-05 0     5.57553 -0.250874 0     1     0     -193.404 -516.366 0     
