# for file format info please take a look at /input/others/txt_file_description.txt
general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
5            0.0005         100            2.5            output

particles:
# origin             velocity         mass    type     old_force
28.7295 2.67003e-05 0     6.3475 -0.0331862 0     1     0     211.348 -90.9138 0     
30.0889 0.0271589 0     -10.1303 13.4925 0     1     0     0.766761 -11.702 0     
23.8532 2.82288 0     15.8659 6.05581 0     1     0     674.791 399.645 0     
19.2501 7.90734 0     -8.20586 -10.0399 0     1     0     -46.7355 168.447 0     
22.8582 9.96869 0     -2.99606 -5.03495 0     1     0     198.056 -1660.44 0     
20.6239 0.8515 0     -1.46295 -13.0235 0     1     0     -7.07621 5.62531 0     
27.4104 5.3211 0     -3.84606 -8.39703 0     1     0     131.385 6.81591 0     
21.9507 5.62929 0     19.4352 -24.3854 0     1     0     10.6452 -12.3905 0     
36.8432 1.17161 0     4.79257 -5.69158 0     1     0     -83.1869 -37.69 0     
16.1504 7.23251 0     -5.19755 -7.13045 0     1     0     -14.4789 -14.537 0     
14.3903 10.8835 0     -22.8132 15.3172 0     1     0     2926.26 -758.405 0     
15.7874 9.9543 0     -15.284 -7.05693 0     1     0     117.581 -206.165 0     
25.2762 1.66639 0     -0.306254 -15.0134 0     1     0     -9.98744 -22.7461 0     
27.0015 0.899283 0     15.875 -24.169 0     1     0     242.507 72.6538 0     
17.143 9.12972 0     -14.0597 15.1829 0     1     0     -1624.83 -354.986 0     
28.3357 7.92883 0     3.57293 -12.7822 0     1     0     -118.07 -581.06 0     
26.0182 4.1565 0     -2.88921 -16.691 0     1     0     -772.816 142.003 0     
23.4746 9.11554 0     6.52287 -5.60479 0     1     0     2.09145 -18.9961 0     
25.7367 7.8519 0     -14.1969 -12.2232 0     1     0     -2.21755 -17.8026 0     
30.5552 4.89289 0     -8.61917 -3.89149 0     1     0     1265.5 1897 0     
24.2444 11.4786 0     7.98304 -0.00993702 0     1     0     3683.98 4875.7 0     
29.1769 1.56501 0     -10.4206 0.599679 0     1     0     14.4432 -18.3633 0     
22.6988 11.832 0     1.03717 -32.7829 0     1     0     -1114.03 -323.005 0     
17.8424 9.29147 0     -1.93242 2.01597 0     1     0     1620.22 297.025 0     
