# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius  parallel_strategy  output_baseName
25            0.0005       500           3                 0                 output

particles:
# origin             velocity         mass    type     old_force
7.51901 28.1341 0     -0.436515 0.905396 0     1     0     -44.1973 14.0749 0     
7.99311 29.1617 0     1.67083 1.90124 0     1     0     -71.7156 71.9296 0     
7.32839 30.1115 0     0.00965331 0.824475 0     1     0     -25.1863 -49.06 0     
7.78306 31.2 0     0.0584769 1.39881 0     1     0     50.3455 3.55266 0     
8.14461 32.2689 0     -0.210512 0.817912 0     1     0     6.23105 -8.45726 0     
8.8399 33.1262 0     0.195963 0.341129 0     1     0     -41.7418 -2.99893 0     
8.10764 33.8837 0     -0.673706 -0.911779 0     1     0     -52.121 21.0605 0     
7.16417 34.4724 0     -2.72538 -1.2335 0     1     0     -24.7814 -23.8443 0     
7.2586 35.6005 0     -1.14073 0.844503 0     1     0     1.02723 -6.8808 0     
6.28559 36.1856 0     0.490717 1.17181 0     1     0     -29.881 31.2772 0     
6.33787 37.337 0     -1.61761 2.44547 0     1     0     -12.5916 19.2102 0     
7.39977 37.9178 0     -2.05649 -0.939699 0     1     0     26.8468 -61.0683 0     
7.63233 39.0015 0     -1.18818 -0.926772 0     1     0     18.8946 12.8946 0     
6.72821 39.7083 0     2.59503 0.342851 0     1     0     -3.61035 -30.3388 0     
6.85405 40.8616 0     1.1328 -0.169907 0     1     0     7.09442 32.4346 0     
9.08482 0.963546 0     0.370893 -0.293035 0     1     0     4.76029 61.1926 0     
8.55614 1.81646 0     -0.327097 -0.161719 0     1     0     60.4248 192.629 0     
9.60093 1.8411 0     -0.13047 1.06887 0     1     0     -184.175 -58.8002 0     
9.55347 3.5647 0     0.316672 0.958734 0     1     0     -57.33 63.8794 0     
8.4935 3.57926 0     -0.516093 -0.851651 0     1     0     138.764 9.55181 0     
9.00604 4.43619 0     -0.667385 -0.494569 0     1     0     33.0521 -9.94876 0     
8.46281 5.31293 0     -0.487843 1.17308 0     1     0     187.283 127.841 0     
9.00195 6.17678 0     -1.54354 0.351337 0     1     0     -62.832 -99.7411 0     
8.47875 7.05448 0     -0.143066 0.293916 0     1     0     46.8367 -78.8727 0     
9.01407 7.91721 0     0.691817 -0.273331 0     1     0     -63.4352 3.08499 0     
8.01008 7.92025 0     0.275809 0.661823 0     1     0     98.3481 -151.492 0     
8.29197 8.87788 0     -1.91212 0.818578 0     1     0     -22.5291 74.0891 0     
8.16537 9.96319 0     -0.612761 1.03759 0     1     0     -47.0638 73.73 0     
8.2122 10.9773 0     -0.432629 0.549492 0     1     0     96.2699 -54.6139 0     
9.06158 11.5155 0     0.244744 -0.814396 0     1     0     -31.6208 -111.631 0     
